code_module,code_presentation,id_assessment,assessment_type,assessment_date,weight
AAA,2013J,1752,TMA,1970-01-01,10.0
AAA,2013J,1753,TMA,1970-01-01,20.0
AAA,2013J,1754,TMA,1970-01-01,20.0
AAA,2013J,1755,TMA,1970-01-01,20.0
AAA,2013J,1756,TMA,1970-01-01,30.0
AAA,2013J,1757,Exam,,100.0
AAA,2014J,1758,TMA,1970-01-01,10.0
AAA,2014J,1759,TMA,1970-01-01,20.0
AAA,2014J,1760,TMA,1970-01-01,20.0
AAA,2014J,1761,TMA,1970-01-01,20.0
AAA,2014J,1762,TMA,1970-01-01,30.0
AAA,2014J,1763,Exam,,100.0
BBB,2013B,14991,CMA,1970-01-01,1.0
BBB,2013B,14992,CMA,1970-01-01,1.0
BBB,2013B,14993,CMA,1970-01-01,1.0
BBB,2013B,14994,CMA,1970-01-01,1.0
BBB,2013B,14995,CMA,1970-01-01,1.0
BBB,2013B,14984,TMA,1970-01-01,5.0
BBB,2013B,14985,TMA,1970-01-01,18.0
BBB,2013B,14986,TMA,1970-01-01,18.0
BBB,2013B,14987,TMA,1970-01-01,18.0
BBB,2013B,14988,TMA,1970-01-01,18.0
BBB,2013B,14989,TMA,1970-01-01,18.0
BBB,2013B,14990,Exam,,100.0
BBB,2013J,15003,CMA,1970-01-01,1.0
BBB,2013J,15004,CMA,1970-01-01,1.0
BBB,2013J,15005,CMA,1970-01-01,1.0
BBB,2013J,15006,CMA,1970-01-01,1.0
BBB,2013J,15007,CMA,1970-01-01,1.0
BBB,2013J,14996,TMA,1970-01-01,5.0
BBB,2013J,14997,TMA,1970-01-01,18.0
BBB,2013J,14998,TMA,1970-01-01,18.0
BBB,2013J,14999,TMA,1970-01-01,18.0
BBB,2013J,15000,TMA,1970-01-01,18.0
BBB,2013J,15001,TMA,1970-01-01,18.0
BBB,2013J,15002,Exam,,100.0
BBB,2014B,15015,CMA,1970-01-01,1.0
BBB,2014B,15016,CMA,1970-01-01,1.0
BBB,2014B,15017,CMA,1970-01-01,1.0
BBB,2014B,15018,CMA,1970-01-01,1.0
BBB,2014B,15019,CMA,1970-01-01,1.0
BBB,2014B,15008,TMA,1970-01-01,5.0
BBB,2014B,15009,TMA,1970-01-01,18.0
BBB,2014B,15010,TMA,1970-01-01,18.0
BBB,2014B,15011,TMA,1970-01-01,18.0
BBB,2014B,15012,TMA,1970-01-01,18.0
BBB,2014B,15013,TMA,1970-01-01,18.0
BBB,2014B,15014,Exam,,100.0
BBB,2014J,15020,TMA,1970-01-01,0.0
BBB,2014J,15021,TMA,1970-01-01,10.0
BBB,2014J,15022,TMA,1970-01-01,20.0
BBB,2014J,15023,TMA,1970-01-01,35.0
BBB,2014J,15024,TMA,1970-01-01,35.0
BBB,2014J,15025,Exam,,100.0
CCC,2014B,24286,CMA,1970-01-01,2.0
CCC,2014B,24287,CMA,1970-01-01,7.0
CCC,2014B,24288,CMA,1970-01-01,8.0
