student_id,code_module,code_presentation,date_registration,date_unregistration
11391,AAA,2013J,1969-12-31,
28400,AAA,2013J,1969-12-31,
30268,AAA,2013J,1969-12-31,1970-01-01
31604,AAA,2013J,1969-12-31,
32885,AAA,2013J,1969-12-31,
38053,AAA,2013J,1969-12-31,
45462,AAA,2013J,1969-12-31,
45642,AAA,2013J,1969-12-31,
52130,AAA,2013J,1969-12-31,
53025,AAA,2013J,1969-12-31,
57506,AAA,2013J,1969-12-31,
58873,AAA,2013J,1969-12-31,
59185,AAA,2013J,1969-12-31,
62155,AAA,2013J,1969-12-31,
63400,AAA,2013J,1969-12-31,
65002,AAA,2013J,1969-12-31,1970-01-01
70464,AAA,2013J,1969-12-31,
71361,AAA,2013J,1969-12-31,
74372,AAA,2013J,1969-12-31,
75091,AAA,2013J,1969-12-31,
77367,AAA,2013J,1969-12-31,
91265,AAA,2013J,1969-12-31,
94961,AAA,2013J,1969-12-31,1970-01-01
98094,AAA,2013J,1969-12-31,
100893,AAA,2013J,1969-12-31,
101781,AAA,2013J,1969-12-31,
102806,AAA,2013J,1969-12-31,
102952,AAA,2013J,1969-12-31,
104476,AAA,2013J,1969-12-31,
106247,AAA,2013J,1970-01-01,1970-01-01
106577,AAA,2013J,1969-12-31,
110175,AAA,2013J,1969-12-31,
111717,AAA,2013J,1969-12-31,
113295,AAA,2013J,1969-12-31,
114017,AAA,2013J,1969-12-31,
114999,AAA,2013J,1969-12-31,
116541,AAA,2013J,1969-12-31,
116692,AAA,2013J,1969-12-31,
118983,AAA,2013J,1969-12-31,
123044,AAA,2013J,1969-12-31,
127582,AAA,2013J,1969-12-31,
129955,AAA,2013J,1969-12-31,1970-01-01
132976,AAA,2013J,1969-12-31,
134143,AAA,2013J,1969-12-31,
135335,AAA,2013J,1969-12-31,1970-01-01
135400,AAA,2013J,1969-12-31,1970-01-01
137873,AAA,2013J,1969-12-31,
141355,AAA,2013J,1969-12-31,
141377,AAA,2013J,1969-12-31,1970-01-01
142326,AAA,2013J,1969-12-31,
144801,AAA,2013J,1969-12-31,
145130,AAA,2013J,1969-12-31,
146188,AAA,2013J,1969-12-31,
147756,AAA,2013J,1969-12-31,
147793,AAA,2013J,1969-12-31,1970-01-01
148993,AAA,2013J,1969-12-31,1970-01-01
151358,AAA,2013J,1969-12-31,
155550,AAA,2013J,1969-12-31,
155854,AAA,2013J,1969-12-31,
155984,AAA,2013J,1969-12-31,1970-01-01
157568,AAA,2013J,1969-12-31,
159954,AAA,2013J,1969-12-31,1970-01-01
164259,AAA,2013J,1969-12-31,
167906,AAA,2013J,1969-12-31,
168936,AAA,2013J,1969-12-31,
172112,AAA,2013J,1969-12-31,
172797,AAA,2013J,1969-12-31,
174782,AAA,2013J,1969-12-31,
175392,AAA,2013J,1969-12-31,
175932,AAA,2013J,1969-12-31,
175991,AAA,2013J,1969-12-31,
180753,AAA,2013J,1969-12-31,
181316,AAA,2013J,1969-12-31,1970-01-01
183096,AAA,2013J,1969-12-31,
183947,AAA,2013J,1969-12-31,
184271,AAA,2013J,1969-12-31,
185439,AAA,2013J,1969-12-31,
186149,AAA,2013J,1969-12-31,
187100,AAA,2013J,1969-12-31,
188278,AAA,2013J,1969-12-31,1970-01-01
189879,AAA,2013J,1969-12-31,
192183,AAA,2013J,1969-12-31,
195262,AAA,2013J,1969-12-31,1970-01-01
200860,AAA,2013J,1969-12-31,
202635,AAA,2013J,1969-12-31,1970-01-01
205350,AAA,2013J,1969-12-31,
205719,AAA,2013J,1969-12-31,
227499,AAA,2013J,1969-12-31,
227517,AAA,2013J,1969-12-31,
228082,AAA,2013J,1969-12-31,
228222,AAA,2013J,1969-12-31,
229179,AAA,2013J,1969-12-31,
229361,AAA,2013J,1969-12-31,
231554,AAA,2013J,1969-12-31,
