student_id,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
11391,AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
28400,AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
30268,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
31604,AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
32885,AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
38053,AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
45462,AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
45642,AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
52130,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
53025,AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
57506,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
58873,AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
59185,AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
62155,AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
63400,AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
65002,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
70464,AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
71361,AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
74372,AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail
75091,AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
77367,AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
91265,AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass
94961,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
98094,AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
100893,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
101781,AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
102806,AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
102952,AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
