student_id,code_module,code_presentation,avg_score,completion_rate,total_clicks,active_days,final_result
11391,AAA,2013J,82.0,0.8333333333333334,215,2,Pass
28400,AAA,2013J,66.4,0.8333333333333334,144,2,Pass
30268,AAA,2013J,0.0,0.0,103,2,Withdrawn
31604,AAA,2013J,76.0,0.8333333333333334,144,2,Pass
32885,AAA,2013J,54.4,0.8333333333333334,157,2,Pass
38053,AAA,2013J,68.0,0.8333333333333334,151,2,Pass
45462,AAA,2013J,68.0,0.8333333333333334,114,2,Pass
45642,AAA,2013J,72.4,0.8333333333333334,62,2,Pass
52130,AAA,2013J,71.4,0.8333333333333334,72,2,Pass
53025,AAA,2013J,78.0,0.8333333333333334,192,2,Pass
57506,AAA,2013J,74.0,0.8333333333333334,168,2,Pass
58873,AAA,2013J,73.2,0.8333333333333334,208,2,Pass
59185,AAA,2013J,78.6,0.8333333333333334,173,2,Pass
62155,AAA,2013J,76.0,0.8333333333333334,202,2,Pass
63400,AAA,2013J,71.6,0.8333333333333334,156,2,Pass
65002,AAA,2013J,67.0,0.6666666666666666,49,2,Withdrawn
70464,AAA,2013J,55.6,0.8333333333333334,217,2,Pass
71361,AAA,2013J,80.4,0.8333333333333334,157,2,Pass
74372,AAA,2013J,48.5,0.6666666666666666,20,2,Fail
75091,AAA,2013J,66.0,0.8333333333333334,403,2,Pass
77367,AAA,2013J,70.4,0.8333333333333334,88,2,Pass
91265,AAA,2013J,70.8,0.8333333333333334,85,2,Pass
94961,AAA,2013J,65.33333333333333,1.0,113,2,Withdrawn
98094,AAA,2013J,60.6,0.8333333333333334,383,2,Pass
100893,AAA,2013J,68.4,0.8333333333333334,53,2,Pass
101781,AAA,2013J,72.6,0.8333333333333334,248,2,Pass
102806,AAA,2013J,78.0,0.8333333333333334,86,2,Pass
102952,AAA,2013J,76.6,0.8333333333333334,136,2,Pass
104476,AAA,2013J,79.6,0.8333333333333334,356,2,Pass
106247,AAA,2013J,60.0,0.5,25,1,Withdrawn
106577,AAA,2013J,53.4,0.8333333333333334,158,2,Pass
110175,AAA,2013J,63.4,0.8333333333333334,87,2,Pass
111717,AAA,2013J,81.0,0.5,250,2,Pass
113295,AAA,2013J,77.6,0.8333333333333334,113,2,Pass
114017,AAA,2013J,71.8,0.8333333333333334,96,2,Pass
114999,AAA,2013J,72.8,0.8333333333333334,94,2,Pass
116541,AAA,2013J,62.4,0.8333333333333334,103,1,Pass
116692,AAA,2013J,74.2,0.8333333333333334,183,2,Pass
118983,AAA,2013J,61.8,0.8333333333333334,20,2,Pass
123044,AAA,2013J,71.4,0.8333333333333334,171,2,Pass
127582,AAA,2013J,69.6,0.8333333333333334,49,2,Pass
129955,AAA,2013J,81.0,1.0,126,2,Withdrawn
132976,AAA,2013J,67.4,0.8333333333333334,83,2,Pass
134143,AAA,2013J,84.4,0.8333333333333334,280,2,Distinction
135335,AAA,2013J,0.0,0.0,16,2,Withdrawn
135400,AAA,2013J,53.142857142857146,1.0,68,1,Withdrawn
137873,AAA,2013J,80.2,0.8333333333333334,166,2,Pass
141355,AAA,2013J,72.6,0.8333333333333334,154,2,Pass
141377,AAA,2013J,48.833333333333336,1.0,5,1,Withdrawn
142326,AAA,2013J,73.6,0.8333333333333334,127,2,Pass
144801,AAA,2013J,68.8,0.8333333333333334,214,2,Pass
145130,AAA,2013J,54.4,0.8333333333333334,117,2,Pass
146188,AAA,2013J,50.0,0.8333333333333334,65,2,Fail
147756,AAA,2013J,68.66666666666667,1.0,120,2,Fail
147793,AAA,2013J,52.0,0.16666666666666666,17,2,Withdrawn
148993,AAA,2013J,79.5,1.0,165,2,Withdrawn
151358,AAA,2013J,50.0,0.8333333333333334,15,1,Pass
155550,AAA,2013J,67.0,0.8333333333333334,120,2,Pass
155854,AAA,2013J,79.8,0.8333333333333334,206,2,Pass
155984,AAA,2013J,78.14285714285714,1.0,175,2,Withdrawn
