student_id,code_module,code_presentation,avg_score,completion_rate,total_clicks,active_days,final_result,risk_level,engagement_profile,global_profile,cluster_label,cluster_profile
11391,AAA,2013J,82.0,0.8333333333333334,215,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
28400,AAA,2013J,66.4,0.8333333333333334,144,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
30268,AAA,2013J,0.0,0.0,103,2,Withdrawn,HIGH,HIGH_ENGAGEMENT,HIGH_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
31604,AAA,2013J,76.0,0.8333333333333334,144,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
32885,AAA,2013J,54.4,0.8333333333333334,157,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
38053,AAA,2013J,68.0,0.8333333333333334,151,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
45462,AAA,2013J,68.0,0.8333333333333334,114,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
45642,AAA,2013J,72.4,0.8333333333333334,62,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
52130,AAA,2013J,71.4,0.8333333333333334,72,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
53025,AAA,2013J,78.0,0.8333333333333334,192,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
57506,AAA,2013J,74.0,0.8333333333333334,168,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
58873,AAA,2013J,73.2,0.8333333333333334,208,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
59185,AAA,2013J,78.6,0.8333333333333334,173,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
62155,AAA,2013J,76.0,0.8333333333333334,202,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
63400,AAA,2013J,71.6,0.8333333333333334,156,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
65002,AAA,2013J,67.0,0.6666666666666666,49,2,Withdrawn,HIGH,HIGH_ENGAGEMENT,HIGH_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
70464,AAA,2013J,55.6,0.8333333333333334,217,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
71361,AAA,2013J,80.4,0.8333333333333334,157,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
74372,AAA,2013J,48.5,0.6666666666666666,20,2,Fail,HIGH,HIGH_ENGAGEMENT,HIGH_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
75091,AAA,2013J,66.0,0.8333333333333334,403,2,Pass,MEDIUM,HIGH_ENGAGEMENT,MEDIUM_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
77367,AAA,2013J,70.4,0.8333333333333334,88,2,Pass,LOW,HIGH_ENGAGEMENT,LOW_RISK_HIGH_ENGAGEMENT,2,AVERAGE_PERFORMERS
