id_student,code_module,code_presentation,id_site,activity_date,sum_click,activity_type
28400,AAA,2013J,546652,1969-12-31,4,VLE_CLICK
28400,AAA,2013J,546614,1969-12-31,11,VLE_CLICK
28400,AAA,2013J,546714,1969-12-31,1,VLE_CLICK
28400,AAA,2013J,546876,1969-12-31,2,VLE_CLICK
28400,AAA,2013J,546688,1969-12-31,15,VLE_CLICK
28400,AAA,2013J,546662,1969-12-31,17,VLE_CLICK
28400,AAA,2013J,546890,1969-12-31,1,VLE_CLICK
28400,AAA,2013J,547011,1969-12-31,1,VLE_CLICK
28400,AAA,2013J,547013,1969-12-31,1,VLE_CLICK
28400,AAA,2013J,546871,1969-12-31,3,VLE_CLICK
28400,AAA,2013J,546879,1969-12-31,4,VLE_CLICK
30268,AAA,2013J,546652,1969-12-31,3,VLE_CLICK
30268,AAA,2013J,546662,1969-12-31,2,VLE_CLICK
30268,AAA,2013J,546614,1969-12-31,3,VLE_CLICK
31604,AAA,2013J,546672,1969-12-31,1,VLE_CLICK
31604,AAA,2013J,547013,1969-12-31,5,VLE_CLICK
31604,AAA,2013J,546871,1969-12-31,3,VLE_CLICK
31604,AAA,2013J,546614,1969-12-31,11,VLE_CLICK
31604,AAA,2013J,546660,1969-12-31,1,VLE_CLICK
31604,AAA,2013J,546662,1969-12-31,19,VLE_CLICK
31604,AAA,2013J,546879,1969-12-31,9,VLE_CLICK
31604,AAA,2013J,546667,1969-12-31,4,VLE_CLICK
31604,AAA,2013J,546688,1969-12-31,7,VLE_CLICK
32885,AAA,2013J,546681,1969-12-31,5,VLE_CLICK
32885,AAA,2013J,547013,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546652,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546614,1969-12-31,13,VLE_CLICK
32885,AAA,2013J,546662,1969-12-31,22,VLE_CLICK
32885,AAA,2013J,546871,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546660,1969-12-31,2,VLE_CLICK
32885,AAA,2013J,546670,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546719,1969-12-31,5,VLE_CLICK
32885,AAA,2013J,546732,1969-12-31,5,VLE_CLICK
32885,AAA,2013J,546668,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546672,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546667,1969-12-31,3,VLE_CLICK
32885,AAA,2013J,546671,1969-12-31,1,VLE_CLICK
32885,AAA,2013J,546879,1969-12-31,5,VLE_CLICK
32885,AAA,2013J,546731,1969-12-31,4,VLE_CLICK
38053,AAA,2013J,546879,1969-12-31,7,VLE_CLICK
38053,AAA,2013J,546986,1969-12-31,2,VLE_CLICK
38053,AAA,2013J,546652,1969-12-31,5,VLE_CLICK
38053,AAA,2013J,546681,1969-12-31,2,VLE_CLICK
38053,AAA,2013J,546614,1969-12-31,13,VLE_CLICK
38053,AAA,2013J,546669,1969-12-31,5,VLE_CLICK
38053,AAA,2013J,546688,1969-12-31,2,VLE_CLICK
38053,AAA,2013J,546700,1969-12-31,2,VLE_CLICK
38053,AAA,2013J,546714,1969-12-31,2,VLE_CLICK
38053,AAA,2013J,546719,1969-12-31,5,VLE_CLICK
38053,AAA,2013J,546662,1969-12-31,17,VLE_CLICK
38053,AAA,2013J,546871,1969-12-31,1,VLE_CLICK
38053,AAA,2013J,547013,1969-12-31,1,VLE_CLICK
45462,AAA,2013J,546662,1969-12-31,1,VLE_CLICK
45462,AAA,2013J,546986,1969-12-31,1,VLE_CLICK
45462,AAA,2013J,546614,1969-12-31,7,VLE_CLICK
45462,AAA,2013J,546652,1969-12-31,1,VLE_CLICK
58873,AAA,2013J,546652,1969-12-31,8,VLE_CLICK
58873,AAA,2013J,546662,1969-12-31,34,VLE_CLICK
58873,AAA,2013J,546667,1969-12-31,4,VLE_CLICK
58873,AAA,2013J,546614,1969-12-31,18,VLE_CLICK
58873,AAA,2013J,546681,1969-12-31,10,VLE_CLICK
59185,AAA,2013J,546662,1969-12-31,14,VLE_CLICK
59185,AAA,2013J,546667,1969-12-31,8,VLE_CLICK
59185,AAA,2013J,546652,1969-12-31,4,VLE_CLICK
58873,AAA,2013J,546700,1969-12-31,22,VLE_CLICK
58873,AAA,2013J,547013,1969-12-31,1,VLE_CLICK
59185,AAA,2013J,546614,1969-12-31,12,VLE_CLICK
59185,AAA,2013J,547009,1969-12-31,1,VLE_CLICK
59185,AAA,2013J,546986,1969-12-31,1,VLE_CLICK
58873,AAA,2013J,546714,1969-12-31,18,VLE_CLICK
58873,AAA,2013J,546688,1969-12-31,10,VLE_CLICK
59185,AAA,2013J,546681,1969-12-31,3,VLE_CLICK
58873,AAA,2013J,546879,1969-12-31,8,VLE_CLICK
59185,AAA,2013J,546879,1969-12-31,1,VLE_CLICK
58873,AAA,2013J,546719,1969-12-31,3,VLE_CLICK
62155,AAA,2013J,547009,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546871,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546876,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546879,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546681,1969-12-31,4,VLE_CLICK
62155,AAA,2013J,546614,1969-12-31,8,VLE_CLICK
62155,AAA,2013J,546719,1969-12-31,4,VLE_CLICK
62155,AAA,2013J,546662,1969-12-31,29,VLE_CLICK
62155,AAA,2013J,546986,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546667,1969-12-31,5,VLE_CLICK
62155,AAA,2013J,546883,1969-12-31,1,VLE_CLICK
62155,AAA,2013J,546688,1969-12-31,5,VLE_CLICK
62155,AAA,2013J,546652,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546662,1969-12-31,22,VLE_CLICK
63400,AAA,2013J,546670,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546671,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546879,1969-12-31,5,VLE_CLICK
63400,AAA,2013J,546672,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546681,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546614,1969-12-31,8,VLE_CLICK
63400,AAA,2013J,546668,1969-12-31,1,VLE_CLICK
63400,AAA,2013J,546667,1969-12-31,6,VLE_CLICK
65002,AAA,2013J,546614,1969-12-31,3,VLE_CLICK
70464,AAA,2013J,546660,1969-12-31,2,VLE_CLICK
70464,AAA,2013J,546652,1969-12-31,2,VLE_CLICK
70464,AAA,2013J,546667,1969-12-31,5,VLE_CLICK
70464,AAA,2013J,546688,1969-12-31,8,VLE_CLICK
70464,AAA,2013J,546874,1969-12-31,1,VLE_CLICK
70464,AAA,2013J,547011,1969-12-31,1,VLE_CLICK
70464,AAA,2013J,546900,1969-12-31,1,VLE_CLICK
